in s,C2 in V
7.59494080E-02,6.8637735E-01
7.59497120E-02,6.8408701E-01
7.59500160E-02,6.8462946E-01
7.59503200E-02,6.8372538E-01
7.59506240E-02,6.8384592E-01
7.59509280E-02,6.8475000E-01
7.59512320E-02,6.8414728E-01
7.59515360E-02,6.8475000E-01
7.59518400E-02,6.8607599E-01
7.59521440E-02,6.8565409E-01
7.59524480E-02,6.8607599E-01
7.59527520E-02,6.8698008E-01
7.59530560E-02,6.8547327E-01
7.59533600E-02,6.8523218E-01
7.59536640E-02,6.8565409E-01
7.59539680E-02,6.8438837E-01
7.59542720E-02,6.8770334E-01
7.59545760E-02,6.8595545E-01
7.59548800E-02,6.8468973E-01
7.59551840E-02,6.8511164E-01
7.59554880E-02,6.8577463E-01
7.59557920E-02,6.8679926E-01
7.59560960E-02,6.8770334E-01
7.59564000E-02,6.8523218E-01
7.59567040E-02,6.8788416E-01
7.59570080E-02,6.8866770E-01
7.59573120E-02,6.8535273E-01
7.59576160E-02,6.8619654E-01
7.59579200E-02,6.8613626E-01
7.59582240E-02,6.8547327E-01
7.59585280E-02,6.8547327E-01
7.59588320E-02,6.8396646E-01
7.59591360E-02,6.8661844E-01
7.59594400E-02,6.8360483E-01
7.59597440E-02,6.8583490E-01
7.59600480E-02,6.8547327E-01
7.59603520E-02,6.8559381E-01
7.59606560E-02,6.8601572E-01
7.59609600E-02,6.8577463E-01
7.59612640E-02,6.8547327E-01
7.59615680E-02,6.8499109E-01
7.59618720E-02,6.8173639E-01
7.59621760E-02,6.8233911E-01
7.59624800E-02,6.8348429E-01
7.59627840E-02,6.8589518E-01
7.59630880E-02,6.8499109E-01
7.59633920E-02,6.8541300E-01
7.59636960E-02,6.8475000E-01
7.59640000E-02,6.8348429E-01
7.59643040E-02,6.8414728E-01
7.59646080E-02,6.8306238E-01
7.59649120E-02,6.8450891E-01
7.59652160E-02,6.8541300E-01
7.59655200E-02,6.8625681E-01
7.59658240E-02,6.8698008E-01
7.59661280E-02,6.8722116E-01
7.59664320E-02,6.8577463E-01
7.59667360E-02,6.8661844E-01
7.59670400E-02,6.8481028E-01
7.59673440E-02,6.8481028E-01
7.59676480E-02,6.8372538E-01
7.59679520E-02,6.8475000E-01
7.59682560E-02,6.8354456E-01
