in s,C2 in V
2.4041232E-02,7.6729638E-01
2.4041536E-02,7.6659570E-01
2.4041840E-02,7.6604516E-01
2.4042144E-02,7.6844750E-01
2.4042448E-02,7.6704614E-01
2.4042752E-02,7.6574487E-01
2.4043056E-02,7.6709619E-01
2.4043360E-02,7.6604516E-01
2.4043664E-02,7.6609521E-01
2.4043968E-02,7.6899804E-01
2.4044272E-02,7.6644555E-01
2.4044576E-02,7.6744653E-01
2.4044880E-02,7.6689599E-01
2.4045184E-02,7.6759667E-01
2.4045488E-02,7.6679589E-01
2.4045792E-02,7.6494409E-01
2.4046096E-02,7.6629541E-01
2.4046400E-02,7.6679589E-01
2.4046704E-02,7.6499414E-01
2.4047008E-02,7.6544458E-01
2.4047312E-02,7.6744653E-01
2.4047616E-02,7.6654565E-01
2.4047920E-02,7.6639550E-01
2.4048224E-02,7.6634545E-01
2.4048528E-02,7.6484399E-01
2.4048832E-02,7.6604516E-01
2.4049136E-02,7.6634545E-01
2.4049440E-02,7.6539453E-01
2.4049744E-02,7.6649560E-01
2.4050048E-02,7.6634545E-01
2.4050352E-02,7.6499414E-01
2.4050656E-02,7.6389306E-01
2.4050960E-02,7.6554467E-01
2.4051264E-02,7.6649560E-01
2.4051568E-02,7.6749658E-01
2.4051872E-02,7.6639550E-01
2.4052176E-02,7.6614526E-01
2.4052480E-02,7.6759667E-01
2.4052784E-02,7.6594506E-01
2.4053088E-02,7.6619531E-01
2.4053392E-02,7.6664575E-01
2.4053696E-02,7.6529443E-01
2.4054000E-02,7.6729638E-01
2.4054304E-02,7.6624536E-01
2.4054608E-02,7.6729638E-01
2.4054912E-02,7.6669580E-01
2.4055216E-02,7.6439355E-01
2.4055520E-02,7.6499414E-01
2.4055824E-02,7.6429345E-01
2.4056128E-02,7.6704614E-01
2.4056432E-02,7.6539453E-01
2.4056736E-02,7.6624536E-01
2.4057040E-02,7.6534448E-01
2.4057344E-02,7.6479394E-01
2.4057648E-02,7.6339257E-01
2.4057952E-02,7.6509423E-01
2.4058256E-02,7.6589501E-01
2.4058560E-02,7.6459375E-01
2.4058864E-02,7.6599511E-01
2.4059168E-02,7.6634545E-01
2.4059472E-02,7.6579492E-01
2.4059776E-02,7.6619531E-01
2.4060080E-02,7.6574487E-01
2.4060384E-02,7.6579492E-01
2.4060688E-02,7.6444360E-01
2.4060992E-02,7.6604516E-01
2.4061296E-02,7.6714624E-01
2.4061600E-02,7.6544458E-01
2.4061904E-02,7.6719628E-01
2.4062208E-02,7.6579492E-01
2.4062512E-02,7.6684594E-01
2.4062816E-02,7.6634545E-01
2.4063120E-02,7.6474389E-01
2.4063424E-02,7.6499414E-01
2.4063728E-02,7.6604516E-01
2.4064032E-02,7.6514428E-01
2.4064336E-02,7.6644555E-01
2.4064640E-02,7.6584497E-01
2.4064944E-02,7.6534448E-01
2.4065248E-02,7.6529443E-01
2.4065552E-02,7.6694604E-01
2.4065856E-02,7.6579492E-01
2.4066160E-02,7.6654565E-01
2.4066464E-02,7.6529443E-01
2.4066768E-02,7.6719628E-01
2.4067072E-02,7.6749658E-01
2.4067376E-02,7.6634545E-01
2.4067680E-02,7.6634545E-01
2.4067984E-02,7.6369287E-01
2.4068288E-02,7.6569482E-01
2.4068592E-02,7.6564477E-01
