in s,C2 in V
2.91724256E-01,7.4748993E-01
2.91724717E-01,7.4596405E-01
2.91725178E-01,7.4794769E-01
2.91725638E-01,7.4588776E-01
2.91726099E-01,7.4993134E-01
2.91726560E-01,7.4962616E-01
2.91727021E-01,7.5199127E-01
2.91727482E-01,7.5283051E-01
2.91727942E-01,7.5077057E-01
2.91728403E-01,7.4977875E-01
2.91728864E-01,7.5023651E-01
2.91729325E-01,7.4832916E-01
2.91729786E-01,7.5092316E-01
2.91730246E-01,7.4771881E-01
2.91730707E-01,7.4810028E-01
2.91731168E-01,7.4909210E-01
2.91731629E-01,7.4932098E-01
2.91732090E-01,7.4924469E-01
2.91732550E-01,7.4932098E-01
2.91733011E-01,7.4748993E-01
2.91733472E-01,7.4871063E-01
2.91733933E-01,7.4832916E-01
2.91734394E-01,7.4748993E-01
2.91734854E-01,7.5145721E-01
2.91735315E-01,7.5275421E-01
2.91735776E-01,7.5176239E-01
2.91736237E-01,7.5344086E-01
2.91736698E-01,7.5328827E-01
2.91737158E-01,7.5237274E-01
2.91737619E-01,7.5237274E-01
2.91738080E-01,7.5450897E-01
2.91738541E-01,7.5344086E-01
2.91739002E-01,7.5504303E-01
2.91739462E-01,7.5397491E-01
2.91739923E-01,7.5435638E-01
2.91740384E-01,7.5458527E-01
2.91740845E-01,7.5481415E-01
2.91741306E-01,7.5290680E-01
2.91741766E-01,7.5481415E-01
2.91742227E-01,7.5145721E-01
2.91742688E-01,7.5351715E-01
2.91743149E-01,7.5504303E-01
2.91743610E-01,7.5122833E-01
2.91744070E-01,7.5397491E-01
2.91744531E-01,7.5420380E-01
2.91744992E-01,7.5428009E-01
2.91745453E-01,7.5366974E-01
2.91745914E-01,7.5603485E-01
2.91746374E-01,7.5443268E-01
2.91746835E-01,7.5664520E-01
2.91747296E-01,7.5550079E-01
2.91747757E-01,7.5771332E-01
2.91748218E-01,7.5405121E-01
2.91748678E-01,7.5649261E-01
2.91749139E-01,7.5534821E-01
2.91749600E-01,7.5870514E-01
2.91750061E-01,7.5794220E-01
2.91750522E-01,7.5847626E-01
2.91750982E-01,7.5832367E-01
2.91751443E-01,7.5611115E-01
2.91751904E-01,7.5588226E-01
2.91752365E-01,7.5786591E-01
2.91752826E-01,7.5908661E-01
2.91753286E-01,7.5885773E-01
2.91753747E-01,7.5794220E-01
2.91754208E-01,7.5954437E-01
2.91754669E-01,7.5885773E-01
2.91755130E-01,7.5901031E-01
2.91755590E-01,7.5611115E-01
2.91756051E-01,7.5763702E-01
2.91756512E-01,7.5481415E-01
2.91756973E-01,7.5794220E-01
2.91757434E-01,7.5717926E-01
2.91757894E-01,7.5786591E-01
2.91758355E-01,7.5794220E-01
2.91758816E-01,7.5794220E-01
2.91759277E-01,7.5824738E-01
2.91759738E-01,7.5839996E-01
2.91760198E-01,7.5756073E-01
2.91760659E-01,7.5733185E-01
2.91761120E-01,7.6152802E-01
2.91761581E-01,7.6061249E-01
2.91762042E-01,7.6198578E-01
2.91762502E-01,7.6030731E-01
2.91762963E-01,7.5824738E-01
2.91763424E-01,7.5977325E-01
2.91763885E-01,7.6091766E-01
2.91764346E-01,7.6099396E-01
2.91764806E-01,7.5824738E-01
2.91765267E-01,7.6000214E-01
2.91765728E-01,7.6137543E-01
2.91766189E-01,7.6084137E-01
2.91766650E-01,7.6221466E-01
2.91767110E-01,7.6404572E-01
2.91767571E-01,7.6190948E-01
2.91768032E-01,7.6122284E-01
2.91768493E-01,7.6503754E-01
